date	amikacin
2015-02-28	0.0
2015-03-31	0.0
2015-04-30	
2015-05-31	50.0
2015-06-30	100.0
2015-07-31	100.0
2015-08-31	
2015-09-30	0.0
2015-10-31	
2015-11-30	25.0
2015-12-31	
2016-01-31	
2016-02-29	
2016-03-31	
2016-04-30	100.0
2016-05-31	25.0
2016-06-30	66.66666666666666
2016-07-31	66.66666666666666
2016-08-31	50.0
2016-09-30	
2016-10-31	
2016-11-30	
2016-12-31	100.0
2017-01-31	0.0
2017-02-28	100.0
2017-03-31	40.0
2017-04-30	50.0
2017-05-31	40.0
2017-06-30	0.0
2017-07-31	50.0
2017-08-31	0.0
2017-09-30	50.0
2017-10-31	50.0
2017-11-30	100.0
2017-12-31	0.0
2018-01-31	100.0
