antimicrobials, All Organisms,acinetobacter,citrobacter,coagulase negative staphylococcus,enterobacter,enterococcus,escherichia,klebsiella,methicillin sensitive staphylococcus aureus(mssa),pseudomonas,serratia marcescens,staphyloccus hemolyticus (ms-cons),staphylococcus aureus,staphylococcus aureus(mssa),staphylococcus epidermidis,stenotnophomonas maltophilia
amikacin,341,141,4,6,6,0,38,79,0,66,0,0,0,0,1,0
amoxicillin_clavulanicacid,213,65,3,4,6,0,51,71,0,9,0,0,3,0,1,0
ampicillin,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ampicillin_sulbactum,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cefaperazone_sulbactum,160,23,3,0,3,0,39,65,0,27,0,0,0,0,0,0
cefexime,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
cefotaxime,279,119,4,0,7,1,57,87,0,4,0,0,0,0,0,0
cefoxitin,9,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0
ceftazidime,363,141,4,0,10,1,58,88,0,60,0,0,0,0,0,1
ceftazidime_clavalunicacid,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ceftriaxone,6,0,0,0,1,0,1,1,0,2,0,0,1,0,0,0
chloramphenicol,11,5,0,0,2,0,0,3,0,1,0,0,0,0,0,0
ciprofloxacin,358,127,4,7,5,10,58,77,1,57,0,0,9,3,0,0
colistin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cotrimoxazole,12,0,0,7,0,0,0,0,0,1,0,0,1,2,1,0
ertapenem,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
erythromycin,24,0,0,6,0,7,0,0,0,0,0,2,7,2,0,0
gentamicin_highlevel,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
imipenem,246,124,2,0,4,0,12,47,0,57,0,0,0,0,0,0
levofloxacin,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
linezolid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meropenem,280,118,3,0,4,0,26,62,0,67,0,0,0,0,0,0
netilmicin,127,20,2,0,7,0,30,65,0,2,0,0,0,0,1,0
nitrofurantoin,11,1,0,0,0,0,3,4,0,3,0,0,0,0,0,0
penicillin,34,1,0,11,0,7,0,0,1,0,0,1,11,2,0,0
piperacillin_tazobactum,304,134,2,0,4,0,49,68,0,47,0,0,0,0,0,0
rifampicin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teicoplanin,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
tetracycline,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ticarcillin_clavulanicacid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tigecycline,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
vancomycin,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
